Date,Time,Emission
01/04/2024,18,46
01/04/2024,19,48
01/04/2024,19,48
03/04/2024,09,78
03/04/2024,10,87
03/04/2024,11,84
03/04/2024,14,54
03/04/2024,15,50
03/04/2024,16,54
04/04/2024,08,67
04/04/2024,09,?
04/04/2024,09,?
04/04/2024,09,?
04/04/2024,09,?
04/04/2024,09,62
04/04/2024,10,67
04/04/2024,11,60
04/04/2024,12,42
08/04/2024,10,45
08/04/2024,10,45
